step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
98,119368,392,0.13289558772812873,0.5,0.6666666666666666,,,
99,120844,396,0.10477064805905122,0.75,0.9,,,
100,122224,400,0.09041048321888032,0.75,0.9,,,
101,123124,404,0.1401240199569096,0.5,0.8181818181818182,,,
102,124024,408,0.1572484637827399,0.75,0.9,,,
103,125788,412,0.09166893899616546,0.75,0.9166666666666666,0.2477795464775563,0.5,0.7692307692307693
104,126944,416,0.11635009231923606,1.0,1.0,,,
105,127940,420,0.14053633878186322,0.75,0.9166666666666666,,,
106,129032,424,0.12684945227734473,1.0,1.0,,,
107,130060,428,0.11894189964105238,0.5,0.7777777777777778,,,
108,131856,432,0.07845580017457061,1.0,1.0,,,
109,133268,436,0.07715368232166317,1.0,1.0,,,
110,134328,440,0.0968753086053291,0.75,0.9,,,
111,135804,444,0.1104886908808641,0.5,0.75,,,
112,137216,448,0.08120852606805483,0.5,0.8,,,
113,139012,452,0.08384506335685112,1.0,1.0,,,
114,139880,456,0.12097703434618004,0.75,0.9230769230769231,,,
115,141612,460,0.10152930991033558,0.5,0.8333333333333334,,,
116,142640,464,0.13098471415700316,1.0,1.0,0.21092593613205737,0.25,0.625
117,143796,468,0.07365909651739522,0.75,0.875,,,
118,144568,472,0.14784114051416566,0.5,0.8461538461538461,,,
119,145500,476,0.12368432495610908,0.75,0.9285714285714286,,,
120,146368,480,0.09025302585337285,1.0,1.0,,,
121,148164,484,0.09008396266153633,0.75,0.875,,,
122,149256,488,0.11805789402757831,1.0,1.0,,,
123,150764,492,0.096979052069639,0.75,0.9166666666666666,,,
124,152176,496,0.0723434323608682,1.0,1.0,,,
125,153204,500,0.13833399063743743,0.75,0.9565217391304348,,,
126,154296,504,0.1223472587708015,1.0,1.0,,,

